"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2000,2000,"TONNE","Tonnes","3","Thousands",,,457.88,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2001,2001,"TONNE","Tonnes","3","Thousands",,,444.987,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2002,2002,"TONNE","Tonnes","3","Thousands",,,417.216,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2003,2003,"TONNE","Tonnes","3","Thousands",,,420.107,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2004,2004,"TONNE","Tonnes","3","Thousands",,,404.798,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2005,2005,"TONNE","Tonnes","3","Thousands",,,377.945,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2006,2006,"TONNE","Tonnes","3","Thousands",,,359.933,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2007,2007,"TONNE","Tonnes","3","Thousands",,,342.427,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2008,2008,"TONNE","Tonnes","3","Thousands",,,334.279,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2009,2009,"TONNE","Tonnes","3","Thousands",,,319.966,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2010,2010,"TONNE","Tonnes","3","Thousands",,,327.189,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2011,2011,"TONNE","Tonnes","3","Thousands",,,299.989,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2012,2012,"TONNE","Tonnes","3","Thousands",,,298.954,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2013,2013,"TONNE","Tonnes","3","Thousands",,,300.232,,
"FRA","France","PM10","Particulates (PM10)","TOT","Total man-made emissions",2014,2014,"TONNE","Tonnes","3","Thousands",,,275.956,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2000,2000,"TONNE","Tonnes","3","Thousands",,,275.208,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2001,2001,"TONNE","Tonnes","3","Thousands",,,266.101,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2002,2002,"TONNE","Tonnes","3","Thousands",,,257.199,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2003,2003,"TONNE","Tonnes","3","Thousands",,,250.352,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2004,2004,"TONNE","Tonnes","3","Thousands",,,244.954,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2005,2005,"TONNE","Tonnes","3","Thousands",,,233.881,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2006,2006,"TONNE","Tonnes","3","Thousands",,,231.156,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2007,2007,"TONNE","Tonnes","3","Thousands",,,226.742,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2008,2008,"TONNE","Tonnes","3","Thousands",,,221.171,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2009,2009,"TONNE","Tonnes","3","Thousands",,,212.126,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2010,2010,"TONNE","Tonnes","3","Thousands",,,229.009,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2011,2011,"TONNE","Tonnes","3","Thousands",,,229.928,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2012,2012,"TONNE","Tonnes","3","Thousands",,,223.736,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2013,2013,"TONNE","Tonnes","3","Thousands",,,226.506,,
"DEU","Germany","PM10","Particulates (PM10)","TOT","Total man-made emissions",2014,2014,"TONNE","Tonnes","3","Thousands",,,221.101,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2000,2000,"TONNE","Tonnes","3","Thousands",,,49.511,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2001,2001,"TONNE","Tonnes","3","Thousands",,,49.229,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2002,2002,"TONNE","Tonnes","3","Thousands",,,50.133,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2003,2003,"TONNE","Tonnes","3","Thousands",,,47.484,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2004,2004,"TONNE","Tonnes","3","Thousands",,,45.913,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2005,2005,"TONNE","Tonnes","3","Thousands",,,46.81,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2006,2006,"TONNE","Tonnes","3","Thousands",,,44.951,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2007,2007,"TONNE","Tonnes","3","Thousands",,,46.008,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2008,2008,"TONNE","Tonnes","3","Thousands",,,43.56,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2009,2009,"TONNE","Tonnes","3","Thousands",,,41.812,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2010,2010,"TONNE","Tonnes","3","Thousands",,,45.067,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2011,2011,"TONNE","Tonnes","3","Thousands",,,42.331,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2012,2012,"TONNE","Tonnes","3","Thousands",,,44.556,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2013,2013,"TONNE","Tonnes","3","Thousands",,,38.374,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions",2014,2014,"TONNE","Tonnes","3","Thousands",,,35.231,,
