Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,17-18 change
Smith-9 Sts,GF,Brooklyn,300,926087.0,1539209.0,1636221.0,1533167.0,1484326.0,1466151,-18175.0
Sterling St,52,Brooklyn,264,1866122.0,1785975.0,1822524.0,1805238.0,1787994.0,1753125,-34869.0
Sutter Av,L,Brooklyn,323,1449524.0,1499122.0,1453567.0,1435112.0,1394283.0,1246958,-147325.0
Sutter    Av-Rutland Rd,3,Brooklyn,241,2419794.0,2467381.0,2420464.0,2035027.0,1049559.0,1968448,918889.0
Union St,R,Brooklyn,226,2058555.0,2065047.0,2073096.0,2024863.0,1935724.0,2090848,155124.0
Utica Av,CA,Brooklyn,81,4726582.0,4878678.0,5060099.0,5152649.0,5271782.0,5195786,-75996.0
Van Siclen Av,3,Brooklyn,372,1060055.0,1048755.0,304082.0,1250237.0,1078048.0,854150,-223898.0
Van Siclen Av,C,Brooklyn,363,941172.0,967947.0,1019100.0,1017779.0,1026358.0,955230,-71128.0
Van Siclen Av,ZJ,Brooklyn,377,913115.0,943663.0,966461.0,983370.0,910042.0,818735,-91307.0
West 8 St-New    York Aquarium,QF,Brooklyn,378,702810.0,741345.0,789416.0,795636.0,789104.0,818685,29581.0
Wilson Av,L,Brooklyn,305,1243700.0,1393045.0,1407098.0,1219239.0,1471094.0,1420065,-51029.0
Winthrop St,52,Brooklyn,221,2275444.0,2263671.0,2241716.0,2146809.0,2148162.0,2140028,-8134.0
York St,F,Brooklyn,151,2666502.0,2760385.0,2900416.0,3286640.0,3172717.0,3256154,83437.0
1 Av,L,Manhattan,60,7735905.0,8111070.0,7702110.0,7660896.0,7071729.0,6743140,-328589.0
103 St,1,Manhattan,115,4427199.0,4199559.0,4258632.0,4290142.0,4114291.0,4072703,-41588.0
103 St,6,Manhattan,116,5038138.0,5198601.0,4031201.0,4336922.0,4402069.0,4065523,-336546.0
103 St,CB,Manhattan,277,1528633.0,1555514.0,1521132.0,1481660.0,1470838.0,1630405,159567.0
110 St,6,Manhattan,143,3841826.0,3955522.0,4209449.0,4196711.0,3734660.0,3394176,-340484.0
116 St,32,Manhattan,142,3715803.0,3845140.0,3948545.0,3874037.0,3729434.0,3446526,-282908.0
116 St,6,Manhattan,99,5347692.0,5370343.0,5324072.0,5336694.0,5066069.0,4683148,-382921.0
116 St,CB,Manhattan,205,2122084.0,2234662.0,2246138.0,2276196.0,2253473.0,2262578,9105.0
116 St-Columbia University,1,Manhattan,103,5044561.0,4917691.0,4846181.0,4797152.0,4586341.0,4528136,-58205.0
125 St,1,Manhattan,191,2649847.0,2578729.0,2555321.0,2524125.0,2438960.0,2457157,18197.0
125 St,32,Manhattan,98,4917465.0,5103216.0,5121518.0,4989981.0,5054479.0,4727671,-326808.0
125 St,654,Manhattan,36,9290210.0,9574765.0,9586567.0,9431163.0,9088393.0,8630430,-457963.0
125 St,DCBA,Manhattan,34,8932680.0,9342667.0,9558837.0,9603878.0,9335382.0,9037343,-298039.0
135 St,32,Manhattan,104,4672352.0,4932623.0,4949583.0,4867017.0,4768474.0,4506259,-262215.0
135 St,CB,Manhattan,278,1722204.0,1731602.0,1693561.0,1731460.0,1743984.0,1622552,-121432.0
137 St-City College,1,Manhattan,110,4825267.0,4542044.0,4646578.0,4564432.0,4440108.0,4260166,-179942.0
14 St   /8 Av,LECA,Manhattan,18,13903211.0,14340856.0,14763727.0,14572075.0,14153266.0,14324670,171404.0
14 St     /6 Av,L321MF,Manhattan,17,15844699.0,16215866.0,16121318.0,16118952.0,15187056.0,15002214,-184842.0
14 St-Union Sq,654WRQNL,Manhattan,4,35309414.0,35677468.0,35320623.0,34289822.0,34557551.0,33124407,-1433144.0
145 St,1,Manhattan,162,3274106.0,3364151.0,3338110.0,3328994.0,3208921.0,3062446,-146475.0
145 St,3,Manhattan,393,1073259.0,1114674.0,1137484.0,1086105.0,1093045.0,635413,-457632.0
145 St,DCBA,Manhattan,50,7432177.0,7778992.0,7923696.0,7949593.0,7714122.0,7434662,-279460.0
155 St,DB,Manhattan,337,1281168.0,1299098.0,1306282.0,1308981.0,1212240.0,1115948,-96292.0
155 St,C,Manhattan,353,822333.0,852716.0,842826.0,881431.0,887427.0,1001262,113835.0
157 St,1,Manhattan,137,3458058.0,3481873.0,3516545.0,3542519.0,3488053.0,3514522,26469.0
163    St-Amsterdam Av,C,Manhattan,405,1317493.0,1390615.0,1395260.0,1450668.0,1437340.0,548092,-889248.0
168 St,1CA,Manhattan,41,7884456.0,8090476.0,8009233.0,8217661.0,7945871.0,8150537,204666.0
175 St,A,Manhattan,125,4154792.0,4187473.0,4197373.0,4049645.0,4112450.0,3879652,-232798.0
18 St,1,Manhattan,177,2585522.0,2622558.0,2676304.0,2687128.0,2594336.0,2683235,88899.0
181 St,1,Manhattan,132,3608658.0,3751020.0,3779275.0,3772385.0,3742446.0,3605435,-137011.0
181 St,A,Manhattan,145,3309493.0,3456161.0,3628174.0,3459170.0,3453621.0,3368097,-85524.0
190 St,A,Manhattan,304,1472564.0,1458911.0,1530460.0,1460194.0,1494996.0,1423142,-71854.0
191 St,1,Manhattan,186,2598961.0,2700904.0,2713440.0,2730419.0,2657964.0,2526932,-131032.0
2 Av,F,Manhattan,90,5999079.0,5772265.0,5847710.0,5772537.0,5372036.0,5034358,-337678.0
207 St,1,Manhattan,232,1966949.0,2049587.0,2090297.0,2148169.0,2097830.0,2020214,-77616.0
215 St,1,Manhattan,402,638224.0,626312.0,615177.0,636441.0,617727.0,553050,-64677.0
23 St,1,Manhattan,92,4818903.0,4883773.0,4884678.0,4703374.0,4557216.0,4853909,296693.0
23 St,6,Manhattan,35,9200337.0,9033835.0,8627481.0,8539378.0,8265227.0,9035498,770271.0
23 St,EC,Manhattan,51,7629811.0,7923005.0,7844508.0,7543246.0,7410618.0,7420152,9534.0
23 St,MF,Manhattan,87,8446249.0,8678810.0,8942154.0,8989195.0,8636801.0,5099809,-3536992.0
23 St,WR,Manhattan,40,6905704.0,7348879.0,7965410.0,8151328.0,7651650.0,8155834,504184.0
28 St,1,Manhattan,108,4548738.0,4666347.0,4665377.0,4544976.0,4348170.0,4444072,95902.0
28 St,6,Manhattan,136,7076992.0,7107083.0,7214293.0,7161164.0,6836061.0,3525030,-3311031.0
28 St,WR,Manhattan,107,3520209.0,3796977.0,4083143.0,4205109.0,4065263.0,4445982,380719.0
3 Av,L,Manhattan,214,2310062.0,2473561.0,2386533.0,2449392.0,2319152.0,2204834,-114318.0
33 St,6,Manhattan,30,9756409.0,9798598.0,9701723.0,9577123.0,8916102.0,9530273,614171.0
34 St-Herald    Square,WRQNMFDB,Manhattan,3,38213448.0,39285568.0,39541865.0,39000352.0,39672507.0,39111312,-561195.0
34    St-Hudson Yards,7,Manhattan,156,,,692165.0,2691851.0,3098699.0,3189867,91168.0
34 St-Penn    Station,321,Manhattan,6,27730331.0,28638643.0,28309160.0,27741367.0,26034238.0,25968950,-65288.0
34 St-Penn    Station,ECA,Manhattan,7,25726374.0,26493571.0,26147434.0,25183869.0,24366500.0,24857456,490956.0
42 St-Bryant    Pk    /5 Av,7MFDB,Manhattan,15,15527439.0,15896805.0,16220605.0,16934142.0,16594289.0,16056128,-538161.0
47-50    Sts-Rockefeller Center,MFDB,Manhattan,12,17759382.0,18236646.0,18469446.0,18086203.0,17471620.0,17289384,-182236.0
49 St,WRN,Manhattan,37,8155010.0,8544694.0,8029988.0,8754627.0,8626669.0,8394862,-231807.0
5 Av-53 St,ME,Manhattan,47,7298061.0,7543062.0,7597212.0,7240517.0,7111270.0,7748504,637234.0
5 Av-59 St,WRN,Manhattan,85,5927685.0,6155019.0,6017047.0,5929715.0,5367130.0,5136918,-230212.0
50 St,1,Manhattan,43,8074270.0,8450496.0,8266677.0,8157242.0,7751756.0,8088925,337169.0
50 St,EC,Manhattan,65,6259935.0,6867521.0,6826275.0,6778797.0,6694422.0,6441984,-252438.0
57 St,F,Manhattan,206,4520733.0,4603639.0,4720245.0,4821309.0,4557372.0,2254820,-2302552.0
57 St-7 Av,WRQN,Manhattan,24,8945751.0,9314649.0,9512090.0,9616547.0,11300097.0,11978164,678067.0
59    St-Columbus Circle,1DCBA,Manhattan,8,22774421.0,23566961.0,23299666.0,23203443.0,22929203.0,22991014,61811.0
66 St-Lincoln    Center,1,Manhattan,54,7527781.0,7772308.0,7790234.0,7606975.0,7002620.0,7196026,193406.0
68 St-Hunter    College,6,Manhattan,61,10520477.0,10545971.0,10237854.0,10124694.0,6998999.0,6537270,-461729.0
7 Av,EDB,Manhattan,78,4744808.0,5092341.0,5252615.0,5162589.0,5105535.0,5299531,193996.0
72 St,321,Manhattan,22,13456906.0,13375012.0,13341361.0,13257766.0,12749746.0,12879887,130141.0
72 St,CB,Manhattan,309,2942517.0,3015722.0,2979236.0,2921892.0,2799974.0,1382963,-1417011.0
72 St,Q,Manhattan,31,,,,,8536209.0,9068131,531922.0
77 St,6,Manhattan,49,11167386.0,11454604.0,11014861.0,10927200.0,8276168.0,7653602,-622566.0
79 St,1,Manhattan,91,5438078.0,5601595.0,5534255.0,5371624.0,5102655.0,4990840,-111815.0
8 St-New York    University,WR,Manhattan,75,5379647.0,5635598.0,5894747.0,6030544.0,5569352.0,5686332,116980.0
81 St-Museum    of Natural History,CB,Manhattan,96,4477625.0,4561347.0,4584041.0,4517912.0,4328599.0,4748083,419484.0
86 St,1,Manhattan,69,6333352.0,6519979.0,6464625.0,6359252.0,5988837.0,6139911,151074.0
86 St,654,Manhattan,20,20528208.0,20735032.0,20890828.0,20337593.0,14277369.0,13486510,-790859.0
86 St,CB,Manhattan,268,3408922.0,3515551.0,3474343.0,3478317.0,3177707.0,1734366,-1443341.0
86 St,Q,Manhattan,44,,,,,7693260.0,8075480,382220.0
96 St,321,Manhattan,25,12582947.0,13108304.0,13008596.0,12700397.0,11948981.0,11702401,-246580.0
96 St,6,Manhattan,83,7785646.0,7958453.0,8294978.0,8004488.0,5576058.0,5151742,-424316.0
96 St,CB,Manhattan,168,2979535.0,3089701.0,3084906.0,3044779.0,2887965.0,2836643,-51322.0
96 St,Q,Manhattan,71,,,,,5445960.0,6014304,568344.0
Astor Place,6,Manhattan,86,5775276.0,5751688.0,5447655.0,5271496.0,5245449.0,5111358,-134091.0
Bowery,ZJ,Manhattan,319,970576.0,1057000.0,1184920.0,1223959.0,1327970.0,1275541,-52429.0
Bowling Green,54,Manhattan,39,9081649.0,10261064.0,9153462.0,8870811.0,8234513.0,8251885,17372.0
Broad St,ZJ,Manhattan,242,1436506.0,1662905.0,1834780.0,2064292.0,2056754.0,1967616,-89138.0
Broadway-Lafayette    St    /Bleecker St,6MFDB,Manhattan,26,12560629.0,12913327.0,12666868.0,12405639.0,11956465.0,11414999,-541466.0
Brooklyn    Bridge-City Hall   /Chambers St,ZJ654,Manhattan,32,10721984.0,10938927.0,10481576.0,10059080.0,9360484.0,9060206,-300278.0
Canal St,1,Manhattan,249,1787110.0,1859071.0,1830920.0,1801063.0,1756236.0,1884371,128135.0
Canal St,ECA,Manhattan,68,5922371.0,6013138.0,6011243.0,5753945.0,5932386.0,6160037,227651.0
Canal St,6ZWRQNJ,Manhattan,16,15227139.0,15104077.0,15094135.0,15274896.0,16285516.0,15995877,-289639.0
Cathedral    Pkwy-110 St,1,Manhattan,118,4557743.0,4301285.0,4280482.0,4160302.0,3947489.0,4013259,65770.0
Cathedral    Pkwy-110 St,CB,Manhattan,329,2301545.0,2351549.0,2376166.0,2354421.0,2377135.0,1168203,-1208932.0
Central Park    North-110 St,32,Manhattan,169,2932790.0,3110140.0,3188551.0,3147750.0,2963206.0,2823756,-139450.0
Chambers St,321,Manhattan,70,6755281.0,6973674.0,7054771.0,6948976.0,6459435.0,6108641,-350794.0
Chambers St     /WTC /Park Place,32ECA,Manhattan,9,17242942.0,17589023.0,19623616.0,20349660.0,20927141.0,21636146,709005.0
Christopher    St-Sheridan Sq,1,Manhattan,148,3433544.0,3480159.0,3363949.0,3307136.0,3193169.0,3312074,118905.0
City Hall,WR,Manhattan,244,1560414.0,1151646.0,1828806.0,1977733.0,2258254.0,1920070,-338184.0
Delancey St    /Essex St,ZMJF,Manhattan,45,7759914.0,7909365.0,8226975.0,8458101.0,8128719.0,7922586,-206133.0
Dyckman St,1,Manhattan,204,2094538.0,2298848.0,2317843.0,2410021.0,2329753.0,2263932,-65821.0
Dyckman St,A,Manhattan,230,2112706.0,2158170.0,2244154.0,2135271.0,2165366.0,2037425,-127941.0
East Broadway,F,Manhattan,112,4208654.0,4379909.0,4576662.0,4752739.0,4458909.0,4216327,-242582.0
Franklin St,1,Manhattan,262,1703889.0,1745841.0,1731354.0,1782203.0,1700180.0,1757424,57244.0
Fulton St,5432ZJCA,Manhattan,5,18721694.0,20102397.0,21671684.0,25162937.0,26838473.0,27719115,880642.0
Grand    Central-42 St,7654S,Manhattan,2,44893301.0,46074652.0,46737564.0,46121509.0,44928488.0,45207849,279361.0
Grand St,DB,Manhattan,55,7994060.0,8131543.0,8010864.0,7942505.0,7653408.0,7187070,-466338.0
Harlem-148 St,3,Manhattan,325,1171372.0,1209633.0,1269910.0,1220407.0,1209846.0,1232448,22602.0
Houston St,1,Manhattan,106,4510538.0,4562690.0,4377409.0,4375993.0,4326280.0,4488886,162606.0
Inwood-207 St,A,Manhattan,172,2897438.0,2981271.0,3068931.0,2904915.0,2954523.0,2796626,-157897.0
Lexington Av    /59 St,654WRN,Manhattan,14,21282767.0,21557198.0,21407792.0,21000635.0,17888188.0,16955204,-932984.0
Lexington    Av-53 St  /51 St,6ME,Manhattan,10,20262110.0,20513370.0,20479923.0,19929405.0,18940774.0,18585755,-355019.0
Lexington    Av-63 St,QF,Manhattan,63,4462467.0,4479963.0,4718159.0,5033950.0,6389408.0,6506078,116670.0
Marble    Hill-225 St,1,Manhattan,269,1725406.0,1846582.0,1809998.0,1777035.0,1726646.0,1686237,-40409.0
Prince St,WR,Manhattan,84,5209433.0,5311765.0,5386641.0,5314922.0,4990346.0,5142727,152381.0
Rector St,1,Manhattan,175,3398383.0,3393420.0,3042815.0,2805381.0,2861772.0,2764454,-97318.0
Rector St,WR,Manhattan,218,1524110.0,1116833.0,1896968.0,2038348.0,2213971.0,2154295,-59676.0
Roosevelt    Island,F,Manhattan,202,1948925.0,1870476.0,1966493.0,2110471.0,2361627.0,2269432,-92195.0
South Ferry /Whitehall St,WR1,Manhattan,29,6192660.0,7116897.0,8750364.0,9009136.0,10205836.0,10275268,69432.0
Spring St,6,Manhattan,130,4123703.0,4169799.0,3804403.0,3792870.0,3701740.0,3654673,-47067.0
Spring St,EC,Manhattan,126,3874428.0,3965206.0,3782314.0,3744702.0,3637863.0,3853792,215929.0
Times Sq-42    St        /42 St,ECA7321SWRQN,Manhattan,1,63617614.0,65948730.0,66359208.0,64531511.0,64815739.0,65060656,244917.0
Wall St,32,Manhattan,64,7473489.0,7845023.0,7650853.0,7689447.0,6935020.0,6452733,-482287.0
Wall St,54,Manhattan,76,7231884.0,7437325.0,6708745.0,6148384.0,5704122.0,5646207,-57915.0
West 4    St-Washington Sq,MFEDCBA,Manhattan,21,13533369.0,13942101.0,14147148.0,13955067.0,13849130.0,13446383,-402747.0
WTC Cortland,1,Manhattan,324,0.0,0.0,0.0,0.0,,1245455,
103 St-Corona Plaza,7,Queens,66,6314870.0,6464627.0,6527196.0,6504644.0,6498237.0,6319564,-178673.0
104 St,A,Queens,404,516000.0,388144.0,538400.0,626547.0,560309.0,548871,-11438.0
104 St,ZJ,Queens,409,779537.0,827890.0,841545.0,850903.0,502541.0,456765,-45776.0
111 St,7,Queens,131,3607926.0,3659225.0,3699843.0,3753756.0,3721445.0,3608389,-113056.0
111 St,A,Queens,383,795820.0,802831.0,767647.0,561857.0,748813.0,762641,13828.0
111 St,J,Queens,379,780300.0,802275.0,812055.0,805255.0,948885.0,801639,-147246.0
121 St,ZJ,Queens,412,688985.0,766469.0,788674.0,794687.0,337075.0,391696,54621.0
169 St,F,Queens,188,2834112.0,2854274.0,2858542.0,2787763.0,2629975.0,2497336,-132639.0
21 St,G,Queens,403,422616.0,427353.0,533529.0,580065.0,598061.0,550464,-47597.0
21    St-Queensbridge,F,Queens,146,2631860.0,2683624.0,2884831.0,3009540.0,3157675.0,3340366,182691.0
30 Av,WN,Queens,197,4776709.0,4808350.0,4745260.0,4694548.0,3437709.0,2373721,-1063988.0
33 St-Rawson    St,7,Queens,164,3899003.0,3892589.0,3712153.0,3636632.0,3402610.0,3031465,-371145.0
36 Av,WN,Queens,302,2462645.0,2439630.0,2394564.0,2343925.0,1677211.0,1446827,-230384.0
36 St,RM,Queens,289,1278109.0,1307054.0,1339754.0,1355271.0,1362430.0,1513330,150900.0
39 Av- Dutch Kills,WN,Queens,390,1012381.0,1104375.0,1072026.0,1016809.0,979103.0,665750,-313353.0
40 St-Lowery    St,7,Queens,163,3483507.0,3496675.0,3421569.0,3399567.0,3261769.0,3048104,-213665.0
46 St,RM,Queens,176,3014082.0,3021219.0,2956981.0,2904517.0,2781811.0,2711011,-70800.0
46 St-Bliss    St,7,Queens,117,4734334.0,4695672.0,4593351.0,4541003.0,4303987.0,4058815,-245172.0
52 St,7,Queens,250,2182725.0,2214115.0,2177884.0,2131770.0,2027659.0,1883246,-144413.0
63 Dr-Rego    Park,RM,Queens,95,5129203.0,5272014.0,5244226.0,5219811.0,4991559.0,4769745,-221814.0
65 St,RM,Queens,336,1124823.0,1159576.0,1192281.0,1183534.0,1120703.0,1129031,8328.0
67 Av,RM,Queens,181,2818350.0,2851905.0,2853794.0,2807769.0,2695321.0,2592645,-102676.0
69 St,7,Queens,290,1671584.0,1685222.0,1629526.0,1643806.0,1602770.0,1510410,-92360.0
74-Bway    /Jackson Hts-Roosevelt Av,RMFE7,Queens,13,16864938.0,17087795.0,17224537.0,17301839.0,17095073.0,16994358,-100715.0
75 Av,FE,Queens,349,1155836.0,1131705.0,1136305.0,1102600.0,994127.0,1019978,25851.0
75 St-Elderts    Ln,ZJ,Queens,356,1138544.0,1172162.0,1196186.0,1187714.0,1069608.0,992267,-77341.0
80 St,A,Queens,315,1310413.0,1507116.0,1465264.0,1098234.0,1346296.0,1332047,-14249.0
82 St-Jackson    Hts,7,Queens,97,5139172.0,5172595.0,5128506.0,5089971.0,5018542.0,4741470,-277072.0
85 St-Forest    Pkwy,J,Queens,342,1157863.0,1212661.0,1239793.0,1237770.0,1156600.0,1063133,-93467.0
88 St,A,Queens,371,808822.0,613296.0,1011163.0,952251.0,880776.0,855851,-24925.0
90    St-Elmhurst Av,7,Queens,80,5513135.0,5480059.0,5489630.0,5471961.0,5460868.0,5245160,-215708.0
Aqueduct    Racetrack,A,Queens,385,213601.0,630644.0,672734.0,676971.0,641464.0,732091,90627.0
Aqueduct-North    Conduit Av,A,Queens,417,698115.0,357399.0,365488.0,342494.0,309029.0,276067,-32962.0
Astoria Blvd,WN,Queens,111,3962838.0,3914637.0,3926062.0,3894399.0,3988480.0,4226298,237818.0
Astoria-Ditmars    Blvd,WN,Queens,102,5405084.0,5416919.0,5407027.0,5429314.0,5031462.0,4543854,-487608.0
Beach 105 St,SA,Queens,423,48916.0,82980.0,99254.0,95469.0,97654.0,92852,-4802.0
Beach 25 St,A,Queens,406,267585.0,519843.0,570312.0,601116.0,582975.0,543839,-39136.0
Beach 36 St,A,Queens,418,143400.0,272799.0,296860.0,305816.0,298395.0,275165,-23230.0
Beach 44 St,A,Queens,420,91331.0,181758.0,197543.0,212440.0,214473.0,216609,2136.0
Beach 60 St,A,Queens,394,406698.0,772376.0,801015.0,794595.0,726189.0,630038,-96151.0
Beach 67    St-Arverne By The Sea,A,Queens,388,357807.0,701784.0,799134.0,811248.0,792444.0,669421,-123023.0
Beach 90 St,SA,Queens,413,194416.0,306284.0,333006.0,335515.0,411887.0,382766,-29121.0
Beach 98 St,SA,Queens,422,100594.0,200197.0,214040.0,203795.0,180588.0,154620,-25968.0
Briarwood-Van    Wyck Blvd,FE,Queens,301,1427813.0,1427017.0,1479278.0,1515926.0,1489396.0,1462744,-26652.0
Broad Channel,SA,Queens,424,36849.0,74386.0,91766.0,91208.0,87774.0,82248,-5526.0
Broadway,WN,Queens,194,4325297.0,4407347.0,4300632.0,4189306.0,4060805.0,2436810,-1623995.0
Court Sq,7MGE,Queens,53,6072768.0,6664442.0,6730837.0,6809217.0,7003218.0,7218939,215721.0
Elmhurst Av,RM,Queens,123,4343633.0,4362316.0,4350714.0,4268747.0,4039686.0,3898046,-141640.0
Far    Rockaway-Mott Av,A,Queens,310,806025.0,1486147.0,1576988.0,1572694.0,1472005.0,1376087,-95918.0
Flushing-Main    St,7,Queens,11,19102434.0,19085948.0,19082391.0,19257879.0,18746832.0,17799862,-946970.0
Forest Av,M,Queens,367,1179301.0,1235376.0,1317289.0,1316296.0,796742.0,927801,131059.0
Forest    Hills-71 Av,RMFE,Queens,42,8573480.0,8585239.0,8654547.0,8581096.0,8748221.0,8115385,-632836.0
Fresh Pond Rd,M,Queens,308,1534754.0,1676862.0,1806429.0,1831889.0,1198376.0,1400512,202136.0
Grand    Av-Newtown,RM,Queens,74,5832568.0,5861823.0,5995764.0,6057028.0,5792378.0,5713827,-78551.0
Howard    Beach-JFK Airport,A,Queens,331,1626984.0,963503.0,1041816.0,1012067.0,1123405.0,1154695,31290.0
Hunters Point    Av,7,Queens,243,1710103.0,1791109.0,1848769.0,1994002.0,1999970.0,1932478,-67492.0
Jamaica    Center-Parsons-Archer,ZJE,Queens,27,12507906.0,12784635.0,12622977.0,12470914.0,11604228.0,10681269,-922959.0
Jamaica-179    St,F,Queens,67,6868439.0,6818494.0,6898938.0,6783119.0,6463698.0,6270766,-192932.0
Jamaica-Van    Wyck,E,Queens,294,1565998.0,1587413.0,1545016.0,1536716.0,1555962.0,1502672,-53290.0
Junction Blvd,7,Queens,56,6816700.0,6946966.0,7064435.0,7249912.0,7084849.0,6896657,-188192.0
Kew    Gardens-Union Turnpike,FE,Queens,48,8609185.0,8363109.0,8354731.0,8109611.0,7811007.0,7680149,-130858.0
Mets-Willets    Point,7,Queens,263,1902121.0,1875472.0,2120859.0,2004343.0,1873789.0,1756825,-116964.0
Middle    Village-Metropolitan Av,M,Queens,364,1200171.0,1300110.0,1361246.0,1365048.0,875782.0,954875,79093.0
Northern Blvd,RM,Queens,224,2239136.0,2290836.0,2282296.0,2264100.0,2140551.0,2097374,-43177.0
Ozone    Park-Lefferts Blvd,A,Queens,201,2262961.0,2263109.0,2224331.0,2351557.0,2306419.0,2296755,-9664.0
Parsons Blvd,F,Queens,233,2035948.0,2052252.0,2094007.0,2063042.0,1998650.0,2003517,4867.0
Queens Plaza,RME,Queens,124,2855006.0,3005223.0,3101888.0,3124028.0,3374948.0,3886574,511626.0
Queensboro    Plaza,7WN,Queens,88,3569290.0,3785260.0,3773168.0,4105500.0,4566287.0,5079051,512764.0
Rockaway Blvd,A,Queens,198,2637100.0,2575171.0,1729268.0,2382252.0,2371645.0,2336304,-35341.0
Rockaway    Park-Beach 116 St,SA,Queens,419,135956.0,231407.0,255542.0,250220.0,235691.0,240483,4792.0
Seneca Av,M,Queens,400,711011.0,755026.0,842069.0,854251.0,454373.0,565714,111341.0
Steinway St,RM,Queens,89,4798179.0,4807448.0,4779346.0,4703321.0,4733777.0,5075623,341846.0
Sutphin Blvd,F,Queens,317,1550363.0,1468419.0,1506607.0,1414334.0,1338831.0,1303795,-35036.0
Sutphin    Blvd-Archer Av-JFK Airport,ZJE,Queens,52,7303038.0,7633725.0,7767728.0,7904869.0,7457153.0,7282128,-175025.0
Vernon    Blvd-Jackson Av,7,Queens,105,3726974.0,4169876.0,4462652.0,4877185.0,4821191.0,4493326,-327865.0
Woodhaven    Blvd,ZJ,Queens,311,1398536.0,1505920.0,1551590.0,1513298.0,1512676.0,1370889,-141787.0
Woodhaven    Blvd,RM,Queens,62,7157254.0,7125205.0,7120037.0,7144921.0,6871409.0,6509386,-362023.0
Woodside-61    St,7,Queens,79,5330760.0,5356621.0,5432682.0,5511564.0,5457171.0,5282486,-174685.0
